File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
BuiltInPlugins.zip,64c35f8fcfab9fa57340ce36806d7aca,17767745,21468760
BuiltInStandalonePlugins.zip,13675d8752e44e3817b953fb23514257,3822682,4620857
Plugins.zip,a21e03dff91ede3102ff4186fd4b6c44,694396,1479168
Qml.zip,ae16d3bf2dac1345fedded48047f378f,1587037,4422016
RobloxStudio.zip,0a465d943976b3ffe7d6ad79370b7c9c,24638184,56502826
Libraries.zip,142cc8d33fc1ac659ddf266d769b489a,9176818,23426624
LibrariesQt5.zip,5203eedb97fadc4c17cb47991eca3d68,31755327,79163904
content-avatar.zip,736e1d0362b0cbe9a0dab00cea9a9610,181616,916912
content-configs.zip,175ec37ec9e6acfca186941a141b4dbb,12888,39757
content-fonts.zip,fc27cf197c9edfcfefa9fb27eeb22f49,3181534,6545454
content-models.zip,7a874a687280fde6d0845353a4394179,164925,697120
content-qt_translations.zip,83e226e24d2a3368323959437ee4293e,247879,815789
content-sky.zip,e1149f28db7ee8dea95d6b7ab5b94160,12315,13730
content-sounds.zip,c6e058210724bd746b7ae9b0c43a4cac,351545,375510
shaders.zip,249342056c141a3055dd8c3e2ab34924,2025488,14021997
ssl.zip,98e7527f1ad872797d7203d0a1eccf1a,127697,225619
content-textures2.zip,ae94c55830fa2f0360ba70dd43cbc24e,11120680,12011040
content-textures3.zip,cc0e0e98e5bf9c4401b0738e90462d3f,28258176,46537508
content-terrain.zip,d9d0f7ddf09f89ed83ca51f45749ab5b,24718214,36360101
content-platform-fonts.zip,00b01849ef94f80c58907832d1a145c7,13681295,16427228
extracontent-scripts.zip,4d0ec9babd790b453f69093f0c248ea8,1411893,4363903
extracontent-luapackages.zip,4d217834bb473a41dae38e0b80ec4cf2,2683259,5072555
extracontent-translations.zip,a0f31f5294d9e4d49d5558a37f3f7099,106788,397503
extracontent-models.zip,8b19ba9d90bb455fd540bb6913277797,1809833,2182443
extracontent-textures.zip,08f862b6282d72d78ecdbd97208e3563,6478638,6517682
redist.zip,1b4efa233a27aa865cef90e179a0b87c,2014690,4842240